registrationNumber,plateNumber,model,color,status,provinceCode,provinceName,districtCode,districtName,stationCode,stationName,driverName,driverLicenseNumber,deviceSerialNumber,deviceStatus
REG-2026-000001,WP-CAB-5001,Bajaj RE,Red,ACTIVE,WP,Western Province,COL,Colombo,FORT,Fort Police Station,Kasun Perera,B7000000,SIM-TD-001,ACTIVE
REG-2026-000002,WP-CAB-5002,Piaggio Ape,Black,ACTIVE,WP,Western Province,COL,Colombo,PET,Pettah Police Station,Nimal Perera,B7000001,SIM-TD-002,ACTIVE
REG-2026-000003,WP-CAB-5003,TVS King,Black,ACTIVE,WP,Western Province,COL,Colombo,MNTL,Mount Lavinia Police Station,Amila Perera,B7000002,SIM-TD-003,ACTIVE
REG-2026-000004,WP-CAB-5004,Bajaj RE,Red,ACTIVE,WP,Western Province,GAM,Gampaha,NEG,Negombo Police Station,Sajith Perera,B7000003,SIM-TD-004,ACTIVE
REG-2026-000005,WP-CAB-5005,Piaggio Ape,Silver,ACTIVE,WP,Western Province,GAM,Gampaha,KEL,Kelaniya Police Station,Pradeep Perera,B7000004,SIM-TD-005,ACTIVE
REG-2026-000006,WP-CAB-5006,TVS King,Red,ACTIVE,WP,Western Province,KAL,Kalutara,PAN,Panadura Police Station,Hirusha Perera,B7000005,SIM-TD-006,ACTIVE
REG-2026-000007,CP-CAB-5007,Bajaj RE,Silver,ACTIVE,CP,Central Province,KAN,Kandy,KDY,Kandy HQ Police Station,Janaka Perera,B7000006,SIM-TD-007,ACTIVE
REG-2026-000008,CP-CAB-5008,Piaggio Ape,Silver,ACTIVE,CP,Central Province,KAN,Kandy,PER,Peradeniya Police Station,Rashan Perera,B7000007,SIM-TD-008,ACTIVE
REG-2026-000009,CP-CAB-5009,TVS King,Silver,ACTIVE,CP,Central Province,NUW,Nuwara Eliya,NUWPS,Nuwara Eliya Police Station,Dilan Perera,B7000008,SIM-TD-009,ACTIVE
REG-2026-000010,SP-CAB-5010,Bajaj RE,Green,ACTIVE,SP,Southern Province,GAL,Galle,GALP,Galle Police Station,Mahesh Perera,B7000009,SIM-TD-010,ACTIVE
REG-2026-000011,SP-CAB-5011,Piaggio Ape,White,ACTIVE,SP,Southern Province,MATR,Matara,MATP,Matara Police Station,Ravindu Perera,B7000010,SIM-TD-011,ACTIVE
REG-2026-000012,SP-CAB-5012,TVS King,Red,ACTIVE,SP,Southern Province,HAM,Hambantota,HAMB,Hambantota Police Station,Tharindu Perera,B7000011,SIM-TD-012,ACTIVE
REG-2026-000013,NP-CAB-5013,Bajaj RE,Silver,ACTIVE,NP,Northern Province,JAF,Jaffna,JAFP,Jaffna Police Station,Niroshan Perera,B7000012,SIM-TD-013,ACTIVE
REG-2026-000014,EP-CAB-5014,Piaggio Ape,Black,ACTIVE,EP,Eastern Province,TRI,Trincomalee,TRIP,Trincomalee Police Station,Ashan Perera,B7000013,SIM-TD-014,ACTIVE
REG-2026-000015,EP-CAB-5015,TVS King,Red,ACTIVE,EP,Eastern Province,BAT,Batticaloa,BATP,Batticaloa Police Station,Chamath Perera,B7000014,SIM-TD-015,ACTIVE
